1,ANDROSCOGGIN,,,,,,,,,,,,,,,,,,,
Age,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Female,,,,,,,,,,,,,,,,,,,,
2013,,"3,284","3,316","3,183","3,307","3,381","3,378","3,496","3,137","3,590","4,027","4,154","4,051","3,426","2,812","2,013","1,578","1,327","1,477","54,937"
2014,,"3,253","3,295","3,223","3,322","3,361","3,355","3,457","3,208","3,507","3,863","4,220","4,099","3,488","2,952","2,110","1,552","1,349","1,468","55,081"
2015,,"3,241","3,338","3,216","3,357","3,299","3,350","3,406","3,314","3,352","3,742","4,207","4,103","3,592","3,092","2,156","1,529","1,354","1,449","55,097"
2016,,"3,208","3,339","3,291","3,322","3,233","3,350","3,407","3,418","3,224","3,726","4,120","4,174","3,666","3,293","2,232","1,561","1,375","1,470","55,409"
2017,,"3,247","3,326","3,328","3,315","3,183","3,305","3,503","3,516","3,125","3,627","4,060","4,131","3,766","3,248","2,452","1,615","1,312","1,474","55,534"
2018,,"3,173","3,372","3,368","3,360","3,230","3,295","3,581","3,541","3,093","3,568","3,979","4,048","3,931","3,229","2,585","1,741","1,298","1,535","55,926"
2019,,"3,183","3,361","3,399","3,397","3,237","3,333","3,563","3,489","3,170","3,535","3,845","4,115","3,958","3,289","2,724","1,833","1,252","1,496","56,180"
2020,,"3,101","3,291","3,401","3,398","3,321","3,266","3,587","3,465","3,289","3,369","3,725","4,165","3,975","3,351","2,875","1,920","1,341","1,695","56,535"
2021,,"2,953","3,186","3,368","3,788","3,686","3,331","3,591","3,530","3,417","3,202","3,671","4,052","4,045","3,422","3,013","1,968","1,374","1,729","57,326"
2022,,"2,930","3,171","3,340","3,819","3,726","3,316","3,649","3,618","3,523","3,119","3,536","3,990","4,014","3,543","2,949","2,200","1,379","1,732","57,554"
