table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Intercensal Estimates of the Resident Population for Minor Civil Divisions in Maine: April 1, 2010 to April 1, 2020",,,,,,,,,,,,
Geographic Area,"April 1, 2010
Estimates Base",Population Estimate (as of July 1),,,,,,,,,,"April 1, 2020
Census"
,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"Auburn city, Androscoggin County, Maine","23,055","23,068","23,059","23,108","23,143","23,221","23,294","23,522","23,601","23,878","23,932","24,055"
"Durham town, Androscoggin County, Maine","3,850","3,858","3,882","3,911","3,932","3,961","3,983","4,021","4,054","4,084","4,134","4,173"
"Greene town, Androscoggin County, Maine","4,350","4,350","4,346","4,347","4,340","4,357","4,352","4,369","4,369","4,360","4,370","4,377"
"Leeds town, Androscoggin County, Maine","2,326","2,325","2,318","2,307","2,296","2,287","2,271","2,265","2,265","2,259","2,260","2,261"
"Lewiston city, Androscoggin County, Maine","36,594","36,604","36,592","36,640","36,526","36,614","36,570","36,586","36,624","36,854","37,073","37,121"
"Lisbon town, Androscoggin County, Maine","9,021","9,033","9,044","9,095","9,127","9,185","9,215","9,274","9,349","9,502","9,615","9,709"
"Livermore town, Androscoggin County, Maine","2,095","2,096","2,091","2,086","2,084","2,095","2,097","2,102","2,110","2,113","2,118","2,127"
"Livermore Falls town, Androscoggin County, Maine","3,187","3,185","3,156","3,141","3,119","3,106","3,082","3,091","3,080","3,065","3,062","3,060"
"Mechanic Falls town, Androscoggin County, Maine","3,031","3,032","3,034","3,040","3,043","3,053","3,053","3,058","3,067","3,071","3,092","3,105"
"Minot town, Androscoggin County, Maine","2,604","2,609","2,623","2,637","2,639","2,652","2,662","2,687","2,718","2,734","2,748","2,769"
"Poland town, Androscoggin County, Maine","5,380","5,392","5,421","5,466","5,544","5,616","5,642","5,688","5,759","5,805","5,879","5,904"
"Sabattus town, Androscoggin County, Maine","4,882","4,885","4,906","5,005","4,989","5,002","4,985","4,989","4,999","5,003","5,033","5,045"
