table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Intercensal Estimates of the Resident Population for Counties in Maine: April 1, 2010 to April 1, 2020",,,,,,,,,,,,
Geographic Area,"April 1, 2010  Estimates Base",Population Estimate (as of July 1),,,,,,,,,,"April 1, 2020 Census"
,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Maine,"1,328,354","1,327,967","1,330,060","1,330,954","1,332,673","1,336,617","1,335,768","1,340,292","1,344,956","1,350,606","1,357,523","1,362,357"
".Androscoggin County, Maine","107,713","107,775","107,774","108,087","108,090","108,487","108,518","108,971","109,342","110,075","110,702","111,129"
".Aroostook County, Maine","71,873","71,702","71,413","70,820","70,150","69,629","68,949","68,414","67,749","67,427","67,232","67,097"
".Cumberland County, Maine","281,687","281,613","283,417","284,938","287,408","290,532","292,494","294,845","296,403","298,748","300,968","303,069"
".Franklin County, Maine","30,767","30,705","30,669","30,521","30,292","29,966","29,727","29,642","29,397","29,364","29,522","29,455"
".Hancock County, Maine","54,407","54,359","54,575","54,569","54,696","54,653","54,454","54,747","54,824","55,122","55,404","55,480"
".Kennebec County, Maine","122,151","122,094","121,901","121,789","121,426","121,616","121,482","122,037","122,548","122,744","122,979","123,640"
".Knox County, Maine","39,732","39,743","39,756","39,761","39,907","40,177","40,143","40,181","40,252","40,303","40,401","40,595"
".Lincoln County, Maine","34,444","34,395","34,326","34,254","34,235","34,240","34,021","34,268","34,549","34,760","35,094","35,233"
".Oxford County, Maine","57,829","57,770","57,732","57,417","57,321","57,218","57,035","57,163","57,328","57,525","57,613","57,779"
".Penobscot County, Maine","153,932","153,876","153,840","153,499","153,442","153,489","152,276","151,714","152,127","152,188","152,259","152,202"
".Piscataquis County, Maine","17,535","17,546","17,345","17,230","17,120","16,969","16,849","16,811","16,683","16,571","16,720","16,800"
".Sagadahoc County, Maine","35,287","35,245","35,208","35,270","35,243","35,367","35,478","35,612","35,942","36,357","36,659","36,704"
".Somerset County, Maine","52,222","52,213","51,916","51,782","51,659","51,180","50,658","50,453","50,248","50,426","50,569","50,485"
".Waldo County, Maine","38,791","38,817","38,831","38,874","38,954","38,941","39,002","39,300","39,596","39,456","39,506","39,602"
".Washington County, Maine","32,855","32,820","32,684","32,482","32,165","31,837","31,618","31,411","31,142","30,893","30,995","31,108"
".York County, Maine","197,129","197,294","198,673","199,661","200,565","202,316","203,064","204,723","206,826","208,647","210,900","211,979"
"2010-2020 Intercensal Estimates data products are associated with Data Management System projects P-6000042, P-7501659, and P-7527355. The U.S. Census Bureau reviewed these data products for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY24-0481).    ",,,,,,,,,,,,
"The April 1, 2010 population estimates base reflects changes to the 2010 Census population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions. The data source for April 1, 2020 is the 2020 Census count featuring the application of disclosure avoidance to protect confidentiality. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2010-2020 Intercensal Estimates series are as of 2020.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Intercensal Estimates of the Resident Population for Counties in Maine: April 1, 2010 to April 1, 2020 (CO-EST2020INT-POP-23)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: November 2024,,,,,,,,,,,,
