Place,2020 Total Population,2010 Total Population,Percent Change
Maine,1362359,1328361,3%
Androscoggin County,111139,107702,3%
Aroostook County,67105,71870,-7%
Cumberland County,303069,281674,8%
Franklin County,29456,30768,-4%
Hancock County,55478,54418,2%
Kennebec County,123642,122151,1%
Knox County,40607,39736,2%
Lincoln County,35237,34457,2%
Oxford County,57777,57833,0%
Penobscot County,152199,153923,-1%
Piscataquis County,16800,17535,-4%
Sagadahoc County,36699,35293,4%
Somerset County,50477,52228,-3%
Waldo County,39607,38786,2%
Washington County,31095,32856,-5%
York County,211972,197131,8%
Auburn city,24061,23055,4%
Durham town,4173,3848,8%
Greene town,4376,4350,1%
Leeds town,2262,2326,-3%
Lewiston city,37121,36592,1%
Lisbon town,9711,9009,8%
Livermore town,2127,2095,2%
Livermore Falls town,3060,3187,-4%
Mechanic Falls town,3107,3031,3%
Minot town,2766,2607,6%
Poland town,5906,5376,10%
Sabattus town,5044,4876,3%
Turner town,5817,5734,1%
Wales town,1608,1616,0%
Allagash town,237,239,-1%
Amity town,253,238,6%
Ashland town,1202,1302,-8%
Bancroft UT,57,68,-16%
Blaine town,667,726,-8%
Bridgewater town,532,610,-13%
Caribou city,7396,8189,-10%
Castle Hill town,373,425,-12%
Caswell town,293,306,-4%
Central Aroostook UT,164,118,39%
Chapman town,491,468,5%
Connor UT,418,457,-9%
Crystal town,248,269,-8%
Cyr plantation,78,103,-24%
Dyer Brook town,215,213,1%
Eagle Lake town,772,864,-11%
Easton town,1320,1287,3%
Fort Fairfield town,3322,3496,-5%
Fort Kent town,4067,4097,-1%
Frenchville town,1052,1087,-3%
Garfield plantation,79,81,-2%
Glenwood plantation,5,3,67%
Grand Isle town,366,467,-22%
Hamlin town,166,219,-24%
Hammond town,91,118,-23%
Haynesville town,97,121,-20%
Hersey town,73,83,-12%
Hodgdon town,1290,1309,-1%
Houlton town,6055,6123,-1%
Island Falls town,758,837,-9%
Limestone town,1526,2314,-34%
Linneus town,947,984,-4%
Littleton town,997,1068,-7%
Ludlow town,434,404,7%
Macwahoc plantation,62,79,-22%
Madawaska town,3867,4035,-4%
Mapleton town,1886,1948,-3%
Mars Hill town,1360,1493,-9%
Masardis town,204,249,-18%
Merrill town,208,273,-24%
Monticello town,737,790,-7%
Moro plantation,44,38,16%
Nashville plantation,27,46,-41%
New Canada town,310,321,-3%
New Limerick town,574,510,13%
New Sweden town,577,602,-4%
Northwest Aroostook UT,12,10,20%
Oakfield town,661,737,-10%
Orient town,156,147,6%
Perham town,371,386,-4%
Portage Lake town,359,391,-8%
Presque Isle city,8797,9692,-9%
Reed plantation,129,161,-20%
St. Agatha town,730,747,-2%
St. Francis town,438,485,-10%
St. John plantation,263,267,-1%
Sherman town,815,848,-4%
Smyrna town,439,442,-1%
South Aroostook UT,579,386,50%
Square Lake UT,706,594,19%
Stockholm town,250,253,-1%
Van Buren town,2038,2171,-6%
Wade town,229,283,-19%
Wallagrass town,519,546,-5%
Washburn town,1527,1687,-9%
Westfield town,455,549,-17%
Westmanland town,79,62,27%
Weston town,245,228,7%
Winterville plantation,194,224,-13%
Woodland town,1217,1213,0%
Baldwin town,1520,1525,0%
Bridgton town,5418,5210,4%
Brunswick town,21756,20278,7%
Cape Elizabeth town,9535,9015,6%
Casco town,3646,3742,-3%
Chebeague Island town,396,341,16%
Cumberland town,8473,7211,18%
Falmouth town,12444,11185,11%
Freeport town,8737,7879,11%
Frye Island town,32,5,540%
Gorham town,18336,16381,12%
Gray town,8269,7761,7%
Harpswell town,5031,4740,6%
Harrison town,2447,2730,-10%
Long Island town,234,230,2%
Naples town,3925,3872,1%
New Gloucester town,5676,5542,2%
North Yarmouth town,4072,3565,14%
Portland city,68408,66194,3%
Pownal town,1566,1474,6%
Raymond town,4536,4436,2%
Scarborough town,22135,18919,17%
Sebago town,1911,1719,11%
South Portland city,26498,25002,6%
Standish town,10244,9874,4%
Westbrook city,20400,17494,17%
Windham town,18434,17001,8%
Yarmouth town,8990,8349,8%
Avon town,450,461,-2%
Carrabassett Valley town,673,781,-14%
Carthage town,509,560,-9%
Chesterville town,1328,1352,-2%
Coplin plantation,131,166,-21%
Dallas plantation,304,309,-2%
East Central Franklin UT,805,808,0%
Eustis town,641,618,4%
Farmington town,7592,7760,-2%
Industry town,788,929,-15%
Jay town,4620,4851,-5%
Kingfield town,960,997,-4%
New Sharon town,1458,1407,4%
New Vineyard town,721,757,-5%
North Franklin UT,41,61,-33%
Phillips town,898,1028,-13%
Rangeley town,1222,1168,5%
Rangeley plantation,184,189,-3%
Sandy River plantation,128,133,-4%
South Franklin UT,60,69,-13%
Strong town,1122,1213,-8%
Temple town,527,528,0%
Weld town,376,419,-10%
West Central Franklin UT,1,0,#DIV/0!
