Month,AvgTemp,MinTemp,MaxTemp,Precip,HeatingDegreeDays,CoolingDegreeDays
"August, 2025",64.8,51.5,78.1,1.93,45,88
"July, 2025",68.3,57.5,79.0,2.39,12,153
"June, 2025",61.6,50.3,73.0,3.83,87,27
"May, 2025",52.4,42.3,62.5,5.18,355,
"April, 2025",40.3,30.8,49.8,4.46,670,
"March, 2025",30.4,20.2,40.5,4.34,991,
"February, 2025",16.1,6.3,25.9,2.57,"1,280",
"January, 2025",16.2,8.1,24.3,1.67,"1,411",
"December, 2024",22.9,14.5,31.3,4.86,"1,208",
"November, 2024",38.7,31.3,46.1,2.65,718,
"October, 2024",47.6,37.6,57.7,1.81,484,
"September, 2024",59.2,47.8,70.5,1.55,147,14
"August, 2024",65.6,55.6,75.6,4.41,38,98
"July, 2024",69.6,59.1,80.1,4.76,5,188
"June, 2024",63.9,52.6,75.2,4.44,54,52
"May, 2024",55.2,44.0,66.4,2.98,282,3
"April, 2024",40.8,30.2,51.4,2.91,669,
"March, 2024",32.4,24.4,40.3,7.74,928,
"February, 2024",23.8,13.8,33.8,1.15,"1,064",
"January, 2024",20.3,12.5,28.0,3.65,"1,267",
"December, 2023",28.9,21.4,36.1,6.63,"1,027",
"November, 2023",31.7,23.6,39.7,2.54,920,
"October, 2023",51.6,43.2,59.9,5.14,359,
"September, 2023",60.8,50.5,71.1,5.05,106,28
"August, 2023",63.4,54.1,72.7,6.78,62,70
"July, 2023",69.9,60.5,79.4,5.49,7,183
"June, 2023",59.9,50.6,69.1,6.43,147,8
"May, 2023",51.3,38.1,64.4,4.10,371,
"April, 2023",41.7,31.2,52.2,2.50,636,
"March, 2023",30.2,21.4,39.0,2.29,987,
"February, 2023",18.2,7.3,29.0,1.68,"1,182",
"January, 2023",24.1,16.9,31.5,5.42,"1,134",
"December, 2022",27.6,20.6,34.5,5.53,"1,072",
"November, 2022",37.4,28.4,46.4,4.52,739,
"October, 2022",49.1,37.6,60.7,5.72,443,
"September, 2022",57.1,47.1,67.1,4.62,188,7
"August, 2022",67.2,57.0,77.4,4.95,18,150
"July, 2022",67.7,55.4,80.0,4.48,12,160
"June, 2022",60.1,48.6,71.5,3.27,125,12
"May, 2022",54.4,41.0,67.7,2.82,295,2
"April, 2022",40.6,30.9,50.2,4.46,657,
"March, 2022",29.0,19.8,38.2,3.33,"1,010",
"February, 2022",19.2,8.0,30.5,3.82,"1,162",
"January, 2022",10.8,-0.3,21.9,2.42,"1,533",
"December, 2021",24.4,16.4,32.4,3.15,"1,144",
"November, 2021",35.3,27.0,43.6,3.28,810,
"October, 2021",50.2,41.3,59.1,3.78,400,
"September, 2021",59.0,48.9,69.1,6.46,135,17
"August, 2021",68.2,57.9,78.6,2.66,17,149
"July, 2021",63.6,53.9,73.4,5.46,57,62
"June, 2021",64.9,52.8,77.0,2.22,34,76
"May, 2021",52.4,39.8,64.9,2.74,337,
"April, 2021",43.2,32.0,54.3,3.24,593,
