year,population
2012,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1329192', '23']]"
2013,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1328302', '23']]"
2014,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1330089', '23']]"
2015,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1329328', '23']]"
2016,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1331479', '23']]"
2017,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1335907', '23']]"
2018,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1338404', '23']]"
2019,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1344212', '23']]"
2021,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1372247', '23']]"
2022,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1385340', '23']]"
2023,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1395722', '23']]"
2020,"[['NAME', 'B01003_001E', 'state'], ['Maine', '1362359', '23']]"
