county,year,total_population,population_65plus,pct_65plus
Androscoggin,2016,107269,,
Androscoggin,2021,107968,,
Androscoggin,2026,108579,,
Aroostook,2016,68116,,
Aroostook,2021,67929,,
Aroostook,2026,67736,,
Cumberland,2016,290905,,
Cumberland,2021,294711,,
Cumberland,2026,298632,,
Franklin,2016,30071,,
Franklin,2021,29964,,
Franklin,2026,30030,,
Hancock,2016,54398,,
Hancock,2021,54588,,
Hancock,2026,54679,,
Kennebec,2016,121328,,
Kennebec,2021,120469,,
Kennebec,2026,120095,,
Knox,2016,39655,,
Knox,2021,39430,,
Knox,2026,39103,,
Lincoln,2016,33993,,
Lincoln,2021,32801,,
Lincoln,2026,31725,,
Oxford,2016,57096,,
Oxford,2021,56108,,
Oxford,2026,55241,,
Penobscot,2016,151515,,
Penobscot,2021,151927,,
Penobscot,2026,152294,,
Piscataquis,2016,16876,,
Piscataquis,2021,15908,,
Piscataquis,2026,14989,,
Sagadahoc,2016,35133,,
Sagadahoc,2021,35233,,
Sagadahoc,2026,35283,,
Somerset,2016,50663,,
Somerset,2021,49192,,
Somerset,2026,47923,,
Waldo,2016,39425,,
Waldo,2021,39797,,
Waldo,2026,39994,,
Washington,2016,31566,,
Washington,2021,31172,,
Washington,2026,30723,,
York,2016,202223,,
York,2021,208062,,
York,2026,213437,,

