county,year,total_population,population_65plus,pct_65plus
Androscoggin,2016,107269,17419,16.24
Androscoggin,2021,107968,20842,19.3
Androscoggin,2026,108579,23911,22.02
Aroostook,2016,68116,14808,21.74
Aroostook,2021,67929,17555,25.84
Aroostook,2026,67736,19970,29.48
Cumberland,2016,290905,51625,17.75
Cumberland,2021,294711,62172,21.1
Cumberland,2026,298632,71868,24.07
Franklin,2016,30071,6109,20.32
Franklin,2021,29964,7236,24.15
Franklin,2026,30030,8273,27.55
Hancock,2016,54398,12493,22.97
Hancock,2021,54588,14903,27.3
Hancock,2026,54679,17030,31.15
Kennebec,2016,121328,22091,18.21
Kennebec,2021,120469,26074,21.64
Kennebec,2026,120095,29653,24.69
Knox,2016,39655,9604,24.22
Knox,2021,39430,11352,28.79
Knox,2026,39103,12842,32.84
Lincoln,2016,33993,8568,25.21
Lincoln,2021,32801,9828,29.97
Lincoln,2026,31725,10844,34.18
Oxford,2016,57096,11867,20.79
Oxford,2021,56108,13863,24.71
Oxford,2026,55241,15570,28.19
Penobscot,2016,151515,26402,17.43
Penobscot,2021,151927,31470,20.71
Penobscot,2026,152294,35987,23.63
Piscataquis,2016,16876,3952,23.42
Piscataquis,2021,15908,4428,27.84
Piscataquis,2026,14989,4760,31.76
Sagadahoc,2016,35133,7542,21.47
Sagadahoc,2021,35233,8991,25.52
Sagadahoc,2026,35283,10272,29.11
Somerset,2016,50663,9946,19.63
Somerset,2021,49192,11480,23.34
Somerset,2026,47923,12758,26.62
Waldo,2016,39425,8593,21.8
Waldo,2021,39797,10312,25.91
Waldo,2026,39994,11822,29.56
Washington,2016,31566,7070,22.4
Washington,2021,31172,8300,26.63
Washington,2026,30723,9332,30.38
York,2016,202223,39734,19.65
York,2021,208062,48597,23.36
York,2026,213437,56871,26.65
