county,year,total_population,population_65plus,pct_65plus
Androscoggin,2010,111133,20194,18.17
Androscoggin,2011,111178,20320,18.28
Androscoggin,2012,112733,20912,18.55
Androscoggin,2013,113454,21407,18.87
Androscoggin,2014,114477,22110,19.31
Androscoggin,2015,115272,22731,19.72
Aroostook,2010,67088,16640,24.8
Aroostook,2011,67053,16734,24.96
Aroostook,2012,67062,17008,25.36
Aroostook,2013,67250,17214,25.6
Aroostook,2014,67149,17469,26.02
Aroostook,2015,66776,17630,26.4
Cumberland,2010,303080,57818,19.08
Cumberland,2011,303606,58292,19.2
Cumberland,2012,306152,60642,19.81
Cumberland,2013,309309,63001,20.37
Cumberland,2014,311258,65325,20.99
Cumberland,2015,313809,67625,21.55
Franklin,2010,29451,6637,22.54
Franklin,2011,29468,6705,22.75
Franklin,2012,30265,6948,22.96
Franklin,2013,30604,7159,23.39
Franklin,2014,30826,7430,24.1
Franklin,2015,30902,7625,24.67
Hancock,2010,55481,13997,25.23
Hancock,2011,55512,14124,25.44
Hancock,2012,56362,14613,25.93
Hancock,2013,56677,15151,26.73
Hancock,2014,56801,15594,27.45
Hancock,2015,56946,15882,27.89
Kennebec,2010,124513,25112,20.17
Kennebec,2011,124723,25287,20.27
Kennebec,2012,125775,26107,20.76
Kennebec,2013,127143,26805,21.08
Kennebec,2014,127936,27610,21.58
Kennebec,2015,128461,28407,22.11
Knox,2010,40611,10658,26.24
Knox,2011,40663,10767,26.48
Knox,2012,41078,11165,27.18
Knox,2013,41251,11577,28.06
Knox,2014,41044,11763,28.66
Knox,2015,40981,12052,29.41
Lincoln,2010,35239,9938,28.2
Lincoln,2011,35256,9996,28.35
Lincoln,2012,36024,10390,28.84
Lincoln,2013,36263,10633,29.32
Lincoln,2014,36460,10882,29.85
Lincoln,2015,36491,11169,30.61
Oxford,2010,57756,13107,22.69
Oxford,2011,57892,13232,22.86
Oxford,2012,58690,13644,23.25
Oxford,2013,59539,14248,23.93
Oxford,2014,60115,14771,24.57
Oxford,2015,60039,15151,25.24
Penobscot,2010,152199,29112,19.13
Penobscot,2011,152179,29333,19.28
Penobscot,2012,153383,30241,19.72
Penobscot,2013,154817,31207,20.16
Penobscot,2014,156329,32135,20.56
Penobscot,2015,156840,33185,21.16
Piscataquis,2010,16794,4489,26.73
Piscataquis,2011,16801,4517,26.89
Piscataquis,2012,17211,4658,27.06
Piscataquis,2013,17383,4807,27.65
Piscataquis,2014,17486,4927,28.18
Piscataquis,2015,17432,4958,28.44
Sagadahoc,2010,36699,8508,23.18
Sagadahoc,2011,36730,8577,23.35
Sagadahoc,2012,37171,8853,23.82
Sagadahoc,2013,37402,9192,24.58
Sagadahoc,2014,37541,9482,25.26
Sagadahoc,2015,37582,9798,26.07
Somerset,2010,50478,10969,21.73
Somerset,2011,50473,11051,21.89
Somerset,2012,50788,11419,22.48
Somerset,2013,51027,11690,22.91
Somerset,2014,51171,12028,23.51
Somerset,2015,51338,12237,23.84
Waldo,2010,39602,9226,23.3
Waldo,2011,39666,9316,23.49
Waldo,2012,39974,9696,24.26
Waldo,2013,40212,10096,25.11
Waldo,2014,40490,10449,25.81
Waldo,2015,40617,10753,26.47
Washington,2010,31107,7797,25.07
Washington,2011,31108,7842,25.21
Washington,2012,31213,8075,25.87
Washington,2013,31507,8294,26.32
Washington,2014,31446,8436,26.83
Washington,2015,31383,8537,27.2
York,2010,211965,44182,20.84
York,2011,212263,44585,21.0
York,2012,215050,46308,21.53
York,2013,217084,48489,22.34
York,2014,219117,50701,23.14
York,2015,220143,52525,23.86
